ImageId,Label
1,4
2,8
3,0
4,9
5,9
6,4
7,4
8,8
9,9
10,6
11,7
12,8
13,3
14,0
15,9
16,7
17,2
18,4
19,2
20,4
21,3
22,4
23,9
24,6
25,7
26,6
27,2
28,9
29,6
30,8
31,5
32,8
33,9
34,6
35,9
36,9
37,1
38,8
39,0
40,5
41,5
42,1
43,4
44,9
45,0
46,6
47,0
48,6
49,8
50,4
51,9
52,4
53,0
54,9
55,6
56,3
57,9
58,7
59,8
60,6
61,6
62,8
63,9
64,4
65,8
66,3
67,6
68,8
69,9
70,4
71,5
72,6
73,4
74,3
75,9
76,7
77,2
78,8
79,5
80,2
81,2
82,9
83,1
84,8
85,4
86,4
87,8
88,8
89,2
90,6
91,6
92,6
93,2
94,9
95,6
96,0
97,8
98,8
99,5
100,1
101,9
102,7
103,1
104,0
105,6
106,7
107,3
108,4
109,0
110,2
111,3
112,6
113,9
114,1
115,0
116,0
117,1
118,9
119,3
120,5
121,8
122,3
123,4
124,3
125,6
126,6
127,0
128,0
129,9
130,8
131,7
132,3
133,6
134,1
135,4
136,8
137,6
138,5
139,2
140,4
141,9
142,1
143,7
144,0
145,6
146,6
147,3
148,7
149,6
150,1
151,3
152,5
153,8
154,2
155,2
156,8
157,3
158,4
159,7
160,2
161,6
162,7
163,5
164,7
165,7
166,2
167,0
168,1
169,3
170,3
171,7
172,0
173,5
174,3
175,0
176,0
177,5
178,2
179,2
180,0
181,6
182,7
183,7
184,2
185,2
186,2
187,8
188,3
189,9
190,7
191,6
192,2
193,3
194,3
195,7
196,2
197,5
198,5
199,1
200,6
201,6
202,2
203,0
204,7
205,4
206,3
207,0
208,4
209,9
210,3
211,0
212,6
213,5
214,6
215,8
216,1
217,7
218,9
219,5
220,4
221,5
222,9
223,6
224,0
225,6
226,4
227,2
228,3
229,4
230,1
231,9
232,5
233,8
234,0
235,0
236,3
237,4
238,1
239,4
240,9
241,6
242,8
243,7
244,1
245,0
246,5
247,1
248,2
249,1
250,7
251,9
252,3
253,9
254,0
255,7
256,5
257,6
258,0
259,6
260,5
261,0
262,0
263,2
264,8
265,5
266,0
267,4
268,8
269,7
270,6
271,4
272,9
273,3
274,2
275,6
276,9
277,0
278,0
279,9
280,8
281,7
282,9
283,2
284,6
285,0
286,1
287,5
288,3
289,1
290,8
291,8
292,6
293,7
294,0
295,3
296,7
297,4
298,8
299,0
300,0
301,9
302,5
303,6
304,0
305,9
306,6
307,5
308,2
309,3
310,7
311,8
312,6
313,1
314,2
315,0
316,3
317,3
318,5
319,0
320,7
321,2
322,4
323,2
324,6
325,0
326,7
327,3
328,2
329,6
330,5
331,8
332,3
333,7
334,2
335,1
336,3
337,2
338,3
339,3
340,5
341,6
342,9
343,8
344,0
345,9
346,3
347,8
348,7
349,8
350,6
351,3
352,2
353,8
354,1
355,1
356,5
357,7
358,8
359,2
360,8
361,6
362,3
363,7
364,9
365,3
366,1
367,4
368,4
369,4
370,7
371,6
372,3
373,5
374,9
375,9
376,7
377,3
378,5
379,6
380,2
381,9
382,8
383,7
384,8
385,9
386,9
387,3
388,7
389,0
390,6
391,1
392,9
393,2
394,5
395,7
396,5
397,4
398,8
399,3
400,9
401,2
402,0
403,1
404,0
405,7
406,6
407,5
408,6
409,8
410,7
411,9
412,2
413,9
414,2
415,5
416,6
417,1
418,5
419,7
420,5
421,3
422,3
423,9
424,8
425,7
426,6
427,5
428,2
429,1
430,3
431,6
432,5
433,8
434,3
435,1
436,3
437,3
438,4
439,3
440,9
441,0
442,6
443,7
444,7
445,3
446,7
447,4
448,5
449,6
450,7
451,1
452,9
453,6
454,9
455,6
456,3
457,6
458,8
459,1
460,4
461,1
462,8
463,1
464,4
465,7
466,8
467,9
468,1
469,2
470,5
471,9
472,8
473,5
474,9
475,6
476,2
477,5
478,6
479,3
480,8
481,9
482,1
483,9
484,2
485,4
486,1
487,2
488,7
489,0
490,0
491,1
492,6
493,3
494,6
495,4
496,4
497,6
498,2
499,8
500,6
501,7
502,9
503,3
504,5
505,4
506,6
507,2
508,0
509,4
510,2
511,8
512,0
513,8
514,1
515,8
516,1
517,1
518,6
519,4
520,7
521,3
522,8
523,6
524,0
525,4
526,9
527,9
528,4
529,2
530,1
531,4
532,6
533,3
534,2
535,8
536,3
537,7
538,0
539,7
540,7
541,6
542,9
543,5
544,4
545,8
546,7
547,7
548,9
549,3
550,7
551,8
552,8
553,1
554,8
555,1
556,0
557,8
558,2
559,3
560,3
561,4
562,1
563,7
564,9
565,6
566,9
567,0
568,9
569,9
570,4
571,8
572,6
573,8
574,2
575,5
576,9
577,9
578,2
579,5
580,4
581,2
582,1
583,4
584,8
585,2
586,5
587,7
588,2
589,8
590,4
591,5
592,9
593,4
594,6
595,2
596,0
597,7
598,6
599,9
600,8
601,5
602,0
603,3
604,6
605,4
606,8
607,0
608,5
609,6
610,7
611,4
612,5
613,7
614,7
615,0
616,1
617,7
618,1
619,6
620,9
621,9
622,2
623,4
624,6
625,8
626,6
627,2
628,4
629,5
630,7
631,4
632,9
633,3
634,9
635,2
636,4
637,1
638,8
639,5
640,5
641,0
642,2
643,0
644,8
645,4
646,4
647,6
648,3
649,5
650,3
651,5
652,7
653,8
654,1
655,7
656,6
657,0
658,2
659,7
660,8
661,5
662,2
663,5
664,4
665,2
666,7
667,4
668,0
669,1
670,2
671,7
672,9
673,1
674,4
675,5
676,1
677,8
678,6
679,8
680,1
681,7
682,7
683,7
684,6
685,9
686,6
687,6
688,9
689,7
690,4
691,7
692,8
693,4
694,2
695,5
696,0
697,5
698,1
699,0
700,2
701,5
702,1
703,8
704,3
705,8
706,1
707,6
708,1
709,3
710,1
711,7
712,3
713,4
714,7
715,4
716,0
717,5
718,0
719,8
720,7
721,3
722,9
723,3
724,2
725,0
726,8
727,1
728,4
729,2
730,4
731,6
732,8
733,5
734,9
735,3
736,3
737,7
738,8
739,3
740,0
741,6
742,0
743,4
744,5
745,4
746,4
747,5
748,2
749,6
750,1
751,4
752,8
753,0
754,6
755,1
756,1
757,9
758,9
759,3
